x,y,r
731, 2558, 0.6911635163761372
746, 2558, 0.6911635163761372
2042, 2557, 0.9774528186766119
750, 2557, 0.5643326479831003
736, 2557, 0.5643326479831003
65, 2557, 1.0557697104618329
2035, 2557, 2.6768647884309362
2021, 2557, 3.6134920562752493
1775, 2557, 2.360772841177929
1999, 2556, 0.892288262810312
1753, 2554, 0.5643326479831003
1185, 2556, 2.7646540655045486
753, 2556, 1.0557697104618329
1768, 2554, 0.7980868844676221
1957, 2557, 1.6452982615400624
1750, 2552, 0.6911635163761372
944, 2552, 0.5643326479831003
757, 2555, 1.0557697104618329
1781, 2553, 1.4387715921116582
760, 2553, 1.9549056373532239
383, 2553, 1.1286652959662007
1774, 2550, 1.5961737689352442
1406, 2548, 0.39904344223381105
2094, 2549, 2.6167028409740727
2161, 2548, 2.8216632399155017
2031, 2549, 2.5237723256253437
2023, 2548, 2.5551247367559506
33, 2546, 0.5643326479831003
317, 2545, 0.39904344223381105
2145, 2546, 4.443559713780868
384, 2543, 0.7980868844676221
373, 2540, 0.39904344223381105
314, 2540, 0.5643326479831003
2044, 2546, 4.919737966198094
1055, 2542, 3.2418442498256126
487, 2538, 0.39904344223381105
1, 2543, 2.360772841177929
1988, 2538, 0.39904344223381105
2367, 2553, 8.905018981300648
970, 2536, 0.5643326479831003
965, 2536, 0.5643326479831003
946, 2536, 1.1971303267014333
939, 2536, 0.39904344223381105
2166, 2538, 3.217191084057268
2040, 2536, 2.5860970765174254
348, 2534, 0.5643326479831003
2073, 2537, 3.806631826151908
507, 2533, 0.39904344223381105
489, 2534, 0.6911635163761372
2366, 2531, 1.2618861628126719
2070, 2531, 0.892288262810312
15, 2538, 5.30892770489448
1759, 2533, 2.14891470163533
1073, 2529, 0.5643326479831003
346, 2527, 0.39904344223381105
985, 2527, 0.5643326479831003
1754, 2527, 1.5454886061848316
1848, 2526, 0.7980868844676221
480, 2528, 3.167309131385499
468, 2524, 1.1971303267014333
1874, 2524, 0.9774528186766119
1160, 2523, 1.1286652959662007
46, 2525, 0.7980868844676221
2141, 2523, 2.9861676865556794
